accuracy,precision,recall,f1,operating_threshold,roc_auc,pr_auc,confusion_matrix,candidate_name,model_family,sampling_strategy,is_sampled
0.98,0.6779661016949152,0.7843137254901961,0.7272727272727273,0.5,0.9794449180638438,0.7645392800522424,"[[1430, 19], [11, 40]]",XGB_d4_lr0.08_spw10.0_Nat,XGBoost,scale_pos_10.0,False
0.9673333333333334,0.5116279069767442,0.8627450980392157,0.6423357664233577,0.5,0.9831662133452415,0.7514147235181011,"[[1407, 42], [7, 44]]",XGB_d4_lr0.08_spw28.5_Nat,XGBoost,scale_pos_28.5,False
0.9833333333333333,0.8611111111111112,0.6078431372549019,0.7126436781609196,0.5,0.981758887129731,0.8175988052376926,"[[1444, 5], [20, 31]]",XGB_d6_lr0.03_spw1.0_Nat,XGBoost,scale_pos_1.0,False
0.9833333333333333,0.76,0.7450980392156863,0.7524752475247525,0.5,0.9811634798847075,0.8121867354651421,"[[1437, 12], [13, 38]]",XGB_d6_lr0.03_spw10.0_Nat,XGBoost,scale_pos_10.0,False
0.9733333333333334,0.5733333333333334,0.8431372549019608,0.6825396825396826,0.5,0.9791675124155943,0.7877452649849926,"[[1417, 32], [8, 43]]",XGB_d6_lr0.03_spw28.5_Nat,XGBoost,scale_pos_28.5,False
0.9853333333333333,0.8372093023255814,0.7058823529411765,0.7659574468085106,0.5,0.982151314632133,0.8425277025400525,"[[1442, 7], [15, 36]]",XGB_d6_lr0.08_spw1.0_Nat,XGBoost,scale_pos_1.0,False
0.9846666666666667,0.7916666666666666,0.7450980392156863,0.7676767676767676,0.5,0.9817047591983654,0.8261574656528712,"[[1439, 10], [13, 38]]",XGB_d6_lr0.08_spw10.0_Nat,XGBoost,scale_pos_10.0,False
0.9826666666666667,0.7450980392156863,0.7450980392156863,0.7450980392156863,0.5,0.9806560305281532,0.8054255174882193,"[[1436, 13], [13, 38]]",XGB_d6_lr0.08_spw28.5_Nat,XGBoost,scale_pos_28.5,False
0.9673333333333334,0.5119047619047619,0.8431372549019608,0.6370370370370371,0.5,0.981149947901866,0.7989083376107095,"[[1408, 41], [8, 43]]",RF_d8_ROS,RandomForest,RandomOverSampling_TrainOnly,True
0.982,0.74,0.7254901960784313,0.7326732673267327,0.5,0.9873137660861446,0.8326141916261577,"[[1436, 13], [14, 37]]",RF_d12_ROS,RandomForest,RandomOverSampling_TrainOnly,True
