accuracy,precision,recall,f1,operating_threshold,roc_auc,pr_auc,confusion_matrix,candidate_name,model_family,sampling_strategy
0.6066666666666667,0.0,0.0,0.0,0.5,0.4935885167464114,0.34566481736767696,"[[91, 4], [55, 0]]",XGB_n120_d3_lr0.03_spw1.0,XGBoost,scale_pos_1.0
0.49333333333333335,0.3384615384615385,0.4,0.36666666666666664,0.5,0.4840191387559809,0.35078695662367393,"[[52, 43], [33, 22]]",XGB_n120_d3_lr0.03_spw2.1,XGBoost,scale_pos_2.1
0.41333333333333333,0.358974358974359,0.7636363636363637,0.4883720930232558,0.5,0.5060287081339714,0.3626753798594851,"[[20, 75], [13, 42]]",XGB_n120_d3_lr0.03_spw3.1,XGBoost,scale_pos_3.1
0.5666666666666667,0.25,0.09090909090909091,0.13333333333333333,0.5,0.4761722488038277,0.33961138799706,"[[80, 15], [50, 5]]",XGB_n120_d3_lr0.08_spw1.0,XGBoost,scale_pos_1.0
0.5266666666666666,0.3787878787878788,0.45454545454545453,0.4132231404958678,0.5,0.4912918660287081,0.3439586089619986,"[[54, 41], [30, 25]]",XGB_n120_d3_lr0.08_spw2.1,XGBoost,scale_pos_2.1
0.46,0.358695652173913,0.6,0.4489795918367347,0.5,0.4955023923444976,0.3546544410563037,"[[36, 59], [22, 33]]",XGB_n120_d3_lr0.08_spw3.1,XGBoost,scale_pos_3.1
0.6133333333333333,0.2857142857142857,0.03636363636363636,0.06451612903225806,0.5,0.4884210526315789,0.34488612140205077,"[[90, 5], [53, 2]]",XGB_n120_d4_lr0.03_spw1.0,XGBoost,scale_pos_1.0
0.52,0.36065573770491804,0.4,0.3793103448275862,0.5,0.4909090909090909,0.34445265250658397,"[[56, 39], [33, 22]]",XGB_n120_d4_lr0.03_spw2.1,XGBoost,scale_pos_2.1
0.4666666666666667,0.3684210526315789,0.6363636363636364,0.4666666666666667,0.5,0.5020095693779905,0.35671665858049834,"[[35, 60], [20, 35]]",XGB_n120_d4_lr0.03_spw3.1,XGBoost,scale_pos_3.1
0.5333333333333333,0.25806451612903225,0.14545454545454545,0.18604651162790697,0.5,0.4826794258373205,0.3372379255136676,"[[72, 23], [47, 8]]",XGB_n120_d4_lr0.08_spw1.0,XGBoost,scale_pos_1.0
0.5133333333333333,0.35,0.38181818181818183,0.3652173913043478,0.5,0.4891866028708134,0.3709740166366565,"[[56, 39], [34, 21]]",XGB_n120_d4_lr0.08_spw2.1,XGBoost,scale_pos_2.1
0.5,0.3684210526315789,0.509090909090909,0.42748091603053434,0.5,0.5077511961722487,0.36751380780272735,"[[47, 48], [27, 28]]",XGB_n120_d4_lr0.08_spw3.1,XGBoost,scale_pos_3.1
0.5333333333333333,0.4,0.5454545454545454,0.46153846153846156,0.5,0.5314832535885168,0.3933483058119533,"[[50, 45], [25, 30]]",LR_C0.01_balanced,LogisticRegression,balanced
0.6333333333333333,0.0,0.0,0.0,0.5,0.5291866028708134,0.3904882333557551,"[[95, 0], [55, 0]]",LR_C0.01_None,LogisticRegression,None
0.52,0.38666666666666666,0.5272727272727272,0.4461538461538462,0.5,0.5414354066985645,0.39931046454797836,"[[49, 46], [26, 29]]",LR_C0.1_balanced,LogisticRegression,balanced
0.6266666666666667,0.0,0.0,0.0,0.5,0.535311004784689,0.39028223876442814,"[[94, 1], [55, 0]]",LR_C0.1_None,LogisticRegression,None
0.5133333333333333,0.3815789473684211,0.5272727272727272,0.44274809160305345,0.5,0.5389473684210526,0.3943700974993505,"[[48, 47], [26, 29]]",LR_C1.0_balanced,LogisticRegression,balanced
